Group,Extract,Maintain,Context,Retain,Engage,Enjoy,Video
Student,4,3,4,4,3,3,PP
Student,3,2,3,2,2,2,PP
Student,4,4,4,4,4,4,PP
Student,2,2,2,2,2,1,PP
Student,3,2,3,3,2,3,PP
Student,2,1,2,2,2,2,PP
Student,5,2,4,3,3,2,PP
Student,5,4,4,4,4,4,PP
Student,3,2,3,3,2,3,PP
Student,3,3,4,4,3,3,PP
Student,1,1,1,1,1,1,PP
Student,3,1,3,2,1,2,PP
Student,3,2,3,3,3,3,PP
Student,4,3,3,3,3,3,PP
Student,4,4,3,2,3,2,PP
Student,4,3,4,3,3,2,PP
Student,3,3,2,2,1,2,PP
Student,4,3,4,3,2,1,PP
Student,3,2,4,4,2,2,PP
Student,2,2,3,3,2,2,PP
Student,4,3,3,3,2,3,PP
Student,4,4,4,4,4,4,PP
Student,4,4,4,4,4,4,PP
Student,2,2,3,3,2,2,PP
Student,4,4,3,4,4,4,PP
Student,4,3,3,4,3,3,PP
Student,3,3,3,3,3,3,PP
Student,4,4,4,4,4,4,PP
Student,1,1,2,1,2,2,PP
Student,3,1,2,2,2,2,PP
Student,2,2,1,2,2,1,PP
Student,.,.,.,.,.,.,PP
